"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","#Barocks #britishairways #firstclass #frequentflyer #fivetimesayear https://t.co/2Yk7nUyGmG",FALSE,0,NA,2018-03-27 23:55:59,FALSE,NA,"978782717126103041",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SuzannaRavin",0,FALSE,FALSE,NA,NA
"65","Ah that glorious tension of maybe having an empty seat beside you on transatlantic flight... will someone board at… https://t.co/6Pjv4jb5NU",FALSE,3,NA,2018-03-27 23:30:35,TRUE,NA,"978776324394364932",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RianaMckeith",0,FALSE,FALSE,NA,NA
"66","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-27 23:17:28,FALSE,NA,"978773023640707074",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bottledwaternom",310,TRUE,FALSE,NA,NA
"67","RT @stevenceltic81: #BritishAirways are a disgrace. All credit to this lady for publicly shaming them! https://t.co/HyJyopDb08",FALSE,0,NA,2018-03-27 22:50:59,FALSE,NA,"978766358656757760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Henriklubo",5,TRUE,FALSE,NA,NA
"68","First time flying out of @LondonCityAir this evening - gotta love those views! #BritishAirways Flight #BA8495… https://t.co/BX7nhfiCWB",FALSE,8,NA,2018-03-27 22:35:21,TRUE,NA,"978762427281092609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrphatarfod",1,FALSE,FALSE,NA,NA
"69","RT @troublestravels: Delayed inbound and outbound flights to and from Prague this weekend and now we have a text to say our flight to Las V…",FALSE,0,NA,2018-03-27 22:22:13,FALSE,NA,"978759119447515137",NA,"<a href=""http://kellyfrancis2017.com"" rel=""nofollow"">kellyfrancis2017</a>","kelly1968franc1",4,TRUE,FALSE,NA,NA
"70","@Cleartrip It has been more than 72 hours, you promised to reply, you promised to call back and nothing happened!… https://t.co/iR7GevfKTS",FALSE,0,"Cleartrip",2018-03-27 22:16:30,TRUE,"977571965257961472","978757682738991104","17216088","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alalwan86",0,FALSE,FALSE,NA,NA
"71","@British_Airways has had some tough press in recent times but credit where credits due.. I've found a marked improv… https://t.co/svbZzjSEmx",FALSE,0,"British_Airways",2018-03-27 22:14:46,TRUE,NA,"978757245361106945","18332190","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexmartineztt",0,FALSE,FALSE,NA,NA
"72","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-27 21:54:36,FALSE,NA,"978752171188674560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haltyballa",310,TRUE,FALSE,NA,NA
"73","RT @stevenceltic81: #BritishAirways are a disgrace. All credit to this lady for publicly shaming them! https://t.co/HyJyopDb08",FALSE,0,NA,2018-03-27 21:53:19,FALSE,NA,"978751849149992961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alasdur",5,TRUE,FALSE,NA,NA
"74","See you soon, Dad...except you are on #BritishAirways! https://t.co/7Vxs1yP0hL",FALSE,0,NA,2018-03-27 21:51:06,FALSE,NA,"978751291177316353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NoshFoodandWine",0,FALSE,FALSE,NA,NA
"75","#inauguralflight #Almeria #britishairways #heathrow @British_Airways @SpectrumAlmeria @almerialovers… https://t.co/7hdiBMvvXH",FALSE,0,NA,2018-03-27 21:49:03,TRUE,NA,"978750775554920450",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RichardWGordon",0,FALSE,FALSE,NA,NA
